Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/07  12:00:00,7.799999999999998,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.680511631488704 
 01/07  13:00:00,8.441666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.7032580871424 
 01/07  14:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.756557550841828 
 01/07  15:00:00,9.541666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.824141017801563 
 01/07  16:00:00,9.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.886492298565537 
 01/07  17:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.88286733136547 
 01/07  18:00:00,8.549999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.83065765815446 
 01/07  19:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.772981452541356 
 01/07  20:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.72030026343352 
 01/07  21:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.6675566208919 
 01/07  22:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.631427882679444 
 01/07  23:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.592596360524145 
 01/07  24:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,16.532622341419857 
 01/08  01:00:00,5.6000000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.487187227176937 
 01/08  02:00:00,5.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.440123444820228 
 01/08  03:00:00,5.0,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,16.38964893477051 
 01/08  04:00:00,5.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.359352130708595 
 01/08  05:00:00,4.650000000000001,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.0,16.31265880253903 
 01/08  06:00:00,4.3999999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.262010174666075 
 01/08  07:00:00,4.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.21556435266977 
 01/08  08:00:00,3.899999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.16747105121519 
